ward_id,ward_num,ward_name,zone_name,area_sqm,area_sqkm,population_2011,density_2011,updated_population_2023,slum_percentage,centroid_lon,centroid_lat,mean_aqi,mean_electricity_kwh,mean_water_liters,mean_traffic_speed_kmph,green_cover_ratio,built_density_score,compactness_score,sprawl_index,electricity_stress_index,water_stress_index,sewage_stress_index,pollution_stress_index,mobility_stress_index,amenity_gap_score,transport_gap_score,resource_gap_score
ward_130,130,Ullalu,153-YESHVANTHAPURA,1955810.8536652096,1.9558108536652097,58199,29756.97,69584,18.18,77.64979428790328,12.964676978877774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_131,131,Nayandahalli,166-GOVINDRAJA NAGAR,1613316.5255080229,1.6133165255080228,42785,26519.9,51155,16.52,77.6409977148844,13.015824769138458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_132,132,Attiguppe,167-VIJAYA NAGAR,1748081.3081333267,1.7480813081333266,41487,23732.88,49603,14.7,77.51049170184571,13.003581535966738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_133,133,Hampi Nagar,167-VIJAYA NAGAR,1028736.6032122412,1.0287366032122411,35113,34132.16,41982,20.15,77.51369769555669,13.011624590413447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_134,134,Bapuji Nagar,167-VIJAYA NAGAR,6711067.531160504,6.711067531160504,49484,7373.49,59164,2.73,77.59588138805204,13.049917236424417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_135,135,Padarayanapura,168-CHAMARAJPET,1633408.40066079,1.63340840066079,37599,23018.74,44954,13.94,77.56190563280846,12.906294983934405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_136,136,Jagajivanaramnagar,168-CHAMARAJPET,10274601.447165208,10.274601447165209,38639,3760.63,46197,0.3,77.51299501512145,12.944524053218652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_137,137,Rayapuram,168-CHAMARAJPET,1927569.4314298076,1.9275694314298075,36039,18696.6,43089,11.36,77.54661318563215,12.911007932349266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_138,138,Chalavadipalya,168-CHAMARAJPET,2174514.866569584,2.174514866569584,24801,11405.3,29653,6.06,77.62839204190541,12.921804170112964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_139,139,K R Market,168-CHAMARAJPET,1061566.2610550132,1.0615662610550132,29344,27642.17,35084,16.97,77.60866180938135,12.909238386626113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_140,140,Chamrajapet,168-CHAMARAJPET,3559238.782241578,3.5592387822415783,32213,9050.53,38514,4.7,77.50375563638686,12.98402781334523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_141,141,Azad Nagar,168-CHAMARAJPET,2285268.375939188,2.285268375939188,38825,16989.25,46420,10.61,77.65232868743473,12.95589005896146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_142,142,Sunkenahalli,169-CHICKPET,2480079.699463584,2.480079699463584,34666,13977.78,41447,8.33,77.57407704032276,13.055148642713734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_143,143,Vishveshwara Puram,169-CHICKPET,3689595.503132354,3.689595503132354,32462,8798.25,38812,4.39,77.63155429463954,13.034894317880267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_144,144,Siddapura,169-CHICKPET,3979835.1015130165,3.9798351015130167,34879,8763.93,41702,4.24,77.65302225637939,13.000966785891524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_145,145,Hombegowda Nagara,169-CHICKPET,2088272.9334491512,2.088272933449151,38309,18344.82,45803,11.21,77.51804245945634,13.025957630882061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_146,146,Lakkasandra,172-B.T.M. LAYOUT,3405320.760999294,3.405320760999294,30667,9005.61,36666,4.55,77.65640162177101,12.976422036255977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_147,147,Adugodi,172-B.T.M. LAYOUT,1226679.7084365394,1.2266797084365395,34299,27960.84,41009,17.12,77.56820772502077,12.901697916191976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
