h3_id,elevation_m,slope,flow_accumulation,flood_risk_index,centroid_x,centroid_y,ward_id
88618925a7fffff,897.353,4.139,0.064,0.299,1443922.1774318174,14159466.295736488,
8860145849fffff,877.766,0.285,0.064,0.519,1443947.058128376,14124621.737838771,
88618925a3fffff,901.091,4.399,0.064,0.267,1443090.896556007,14157216.993035492,
8860145a2dfffff,873.847,1.81,0.179,0.536,1443106.7944056254,14135423.362885574,
8860145a41fffff,858.252,3.509,2.872,0.828,1438941.526121188,14137276.103473827,
8860145b61fffff,929.094,4.19,0.064,0.037,1447256.8029696136,14155359.98247065,
8860145b03fffff,884.846,1.204,0.064,0.428,1446434.5720491013,14140034.142064624,
8860145b5dfffff,875.654,2.08,0.064,0.491,1443931.7360232354,14146374.698643284,
88618925b3fffff,860.611,3.634,6.616,0.846,1442266.1367055778,14146244.903302146,
88618925c3fffff,879.495,1.599,2.872,0.67,1438921.0948182694,14163443.749519836,
8860145a25fffff,882.555,1.255,0.064,0.446,1443941.020567882,14133312.9949718,
8860145b11fffff,897.15,2.104,0.064,0.313,1445606.3515289929,14133441.87610969,
8861892eddfffff,895.481,1.088,0.064,0.343,1443909.0059558144,14176968.478301423,
8861892eb7fffff,918.78,3.634,0.064,0.125,1448916.4601854316,14164230.044583568,
88618925b9fffff,888.988,2.133,0.064,0.38,1441428.4036781394,14152721.365911078,
8861892ed1fffff,894.706,2.551,0.064,0.33,1443912.3445665345,14172587.912830368,
8860145b69fffff,889.548,4.19,0.179,0.391,1446422.4175825971,14157478.17076419,
8860145a23fffff,879.044,1.241,0.064,0.475,1443112.9405845134,14126729.110688027,
8861892595fffff,868.639,2.173,0.467,0.625,1440597.1917594718,14150475.039933125,
8860145b6dfffff,900.169,3.168,0.064,0.28,1447253.7423605996,14159727.801035589,
8860145a6dfffff,874.42,1.447,0.064,0.509,1441434.9494246787,14144001.22115515,
8861892e83fffff,909.938,2.541,0.064,0.204,1446412.9813777565,14170596.181843573,
8860145a67fffff,864.926,2.369,5.565,0.813,1442272.5131006013,14137534.407353088,
8861892587fffff,894.351,2.27,0.064,0.335,1441425.0851788477,14157086.4276644,
8860145a6bfffff,872.129,2.017,0.064,0.521,1440607.0363471708,14137405.2476838,
8861892eb9fffff,913.627,2.695,0.064,0.173,1447247.529540926,14168473.452311188,
886189259bfffff,867.552,1.554,0.064,0.564,1438934.837171071,14145985.359266246,
8860145b19fffff,892.67,2.286,0.064,0.349,1444772.1814440645,14135552.39097337,
8861892597fffff,884.799,2.238,0.064,0.414,1440600.5036794348,14146115.123510737,
8861892eb1fffff,888.188,3.241,0.179,0.406,1448082.0224887894,14166351.406701744,
8861892e8bfffff,885.95,3.44,0.294,0.446,1445578.3780352145,14172719.595730992,
8860145b01fffff,884.622,1.545,0.064,0.424,1446431.579172175,14144390.164800411,
88618925c7fffff,889.999,1.101,0.064,0.388,1439752.3558767757,14165695.379423736,
8860145b4bfffff,885.658,2.858,0.064,0.402,1443928.5802869566,14150735.23661561,
88618925d7fffff,873.657,1.155,2.872,0.726,1438928.026759087,14154707.895467877,
8860145b1bfffff,890.912,1.739,0.064,0.369,1444775.1915514849,14131203.303187225,
8860145b0dfffff,892.336,1.529,1.389,0.517,1446428.555807739,14148749.507377582,
8860145b29fffff,902.148,0.66,0.064,0.3,1448094.1089065175,14148879.497001007,
8861892edbfffff,887.25,1.769,0.179,0.426,1443080.9924339813,14170333.129323095,
8860145a47fffff,891.371,3.719,0.064,0.35,1439775.9191267143,14135165.353032164,
8860145b39fffff,873.481,2.709,9.381,0.756,1447268.7402637098,14137921.979144817,
8860145b2dfffff,907.541,1.206,0.064,0.241,1448925.4079655018,14151125.648620257,
8861892eb3fffff,884.103,3.634,5.565,0.647,1448085.0899087905,14161978.425382089,
8861892ed7fffff,918.784,3.676,0.064,0.124,1444747.003943288,14170464.64768484,
8860145b3bfffff,898.199,2.709,0.064,0.3,1447271.6483439633,14133570.772671605,
8860145a63fffff,883.627,2.868,0.064,0.419,1441441.3735577855,14135294.350239433,
8860145a4dfffff,878.835,2.255,0.064,0.463,1438938.1968246754,14141629.073652713,
8860145a0dfffff,856.273,3.719,4.744,0.869,1440610.257111726,14133055.27895693,
88618925b7fffff,895.284,3.634,0.064,0.318,1443097.3470068981,14148489.574864157,
88618925a1fffff,881.422,2.154,0.179,0.47,1443087.6256498229,14161585.699224617,
8860145b1dfffff,894.774,1.677,0.064,0.338,1445603.3652850299,14137792.7730808,
8860145b55fffff,889.085,2.591,0.064,0.376,1444766.0698929809,14144260.501387583,
8860145a27fffff,876.079,1.555,0.179,0.522,1443944.0545561062,14128965.714969326,
88618925e1fffff,875.693,1.627,2.872,0.701,1441414.9470762336,14170201.62675548,
8860145b43fffff,865.44,3.577,7.163,0.81,1444762.9684324628,14148619.533332909,
