"Anyone you know contracted dengue since January 2015?","Number of people that youpersonally know  have contracted dengue since January 2015?","How many fatal cases did you see","Where do you live?","Ward No and Name","Locality"
"Relatives / Friends / Acquaintances / Colleagues","1","0","Hotel Ibis","150 - Bellanduru","Bellandur"
"Immediate family (parents, spouse, siblings, children)","4","0","Individual house","8 - Kodigehalli","Sahakaranagar"
"Relatives / Friends / Acquaintances / Colleagues","More than 5","5","Individual house","116 - Nilasandra","neelasandra"
"Relatives / Friends / Acquaintances / Colleagues","4","0","","",""
"Immediate family (parents, spouse, siblings, children)","More than 5","2","Individual house","19 - Sanjaya Nagar","Lottegollahalli"
"Myself","None","0","Individual house","151 - Koramangala","1st Block, Koramangala"
"Relatives / Friends / Acquaintances / Colleagues","3","3","Individual house","10 - Dodda Bommasandra",""
"Immediate family (parents, spouse, siblings, children)","2","0","Individual house","100 - Basaveshwara Nagar","Basaveshwaranagar"
"No","3","1","Individual house","16 - Jalahalli",""
"Relatives / Friends / Acquaintances / Colleagues","More than 5","10","Apartment","154 - Basavanagudi","banashankari 2nd stage"
"Myself","More than 5","0","Apartment","85 - Dodda Nekkundi","Kundalahalli"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","2","1","Individual house","176 - BTM Layout","BTM 1st Stage"
