h3_id,centroid_lat,centroid_lon,ward_id,hex_area_sqm,total_buildings,total_footprint_m2,builtup_pct,avg_floors,avg_height_m
88618925b7fffff,12.96356404125835,77.58172203843485,ward_11,759362.8216411707,1239,232707.60835509375,30.6451147887587,0.04439063761097659,10.0
886014594bfffff,13.023488771520414,77.5574546415302,ward_66,758945.1255787163,2259,336461.68437473127,44.33280787173777,0.004426737494466578,15.6
8861892535fffff,12.963325691016143,77.64913456086613,ward_130,760225.8719040026,1150,225798.86595855205,29.701549802959715,0.05217391304347826,
886189252bfffff,12.95579434246445,77.66165250097937,ward_141,760399.0681255686,632,92820.51747079597,12.206816310230938,,
8861892ee9fffff,12.99323202828644,77.65807462847545,ward_144,760287.0016469983,510,121296.99636363078,15.954106291553968,0.07254901960784314,
8861892595fffff,12.94110476446078,77.58555697462181,ward_32,759451.3103487954,1178,229603.4581989179,30.23280822222392,0.04923599320882852,
8861892591fffff,12.933638067954625,77.58122001160162,ward_64,759408.7371173189,1086,228042.85359094242,30.02900051645215,0.027624309392265192,
886189258bfffff,12.93357731745425,77.59806663617147,ward_58,759624.6797250207,503,179726.3126802342,23.659883292008626,0.039761431411530816,
8861892e9bfffff,12.97844134799895,77.60724811631393,ward_23,759663.4574753023,499,183307.9672062425,24.130154662889268,0.48897795591182364,13.0
8860145b2bfffff,13.008477175120223,77.57405098530113,ward_39,759184.8067251915,911,183062.9698975352,24.113097137335103,0.025246981339187707,
8860145a6dfffff,12.948630469633484,77.5730484621158,ward_25,759277.8512993711,1158,272663.7347483018,35.91092961314301,0.08376511226252159,
8860145a69fffff,12.94116399438934,77.56871230666587,ward_48,759235.2942755582,1219,264690.79269006813,34.862814556405596,0.27317473338802295,5.0
8860145b31fffff,13.008529268490514,77.55720481371397,ward_28,758968.761460694,1698,275746.3758390994,36.33171611811851,0.21849234393404005,95.57083333333333
886189259bfffff,12.926171579055962,77.57688347032666,ward_64,759366.1159856676,978,195103.53789019384,25.692947549673953,0.081799591002045,4.0
