h3_id,n_buildings,total_built_area_m2,hex_area_m2,built_percentage,lulc_built_up_percent,lulc_vegetation_percent,lulc_water_percent,lulc_barren_percent,lulc_road_percent,lulc_built_up_percent_2013,lulc_change_2013_2023
8860145a41fffff,1269,189107.03349899262,759150.0365844258,0.24910363483590747,24.910363483590746,0.0,0.0,0.0,0.0,19.928290786872598,4.982072696718149
8860145a43fffff,1078,223931.6937586062,759041.9575437962,0.2950188609905474,29.50188609905474,0.0,0.0,0.0,0.0,23.601508879243795,5.900377219810945
8860145a45fffff,1550,230822.99391986383,759192.68936484,0.30403742969782316,30.403742969782314,0.0,0.0,0.0,0.0,24.322994375825854,6.080748593956461
8860145a47fffff,1761,345393.3365900425,759084.6261272018,0.45501295205017633,45.501295205017634,0.0,0.0,0.0,0.0,36.40103616401411,9.100259041003525
8860145a4dfffff,982,194201.2332504713,759258.0894078222,0.255777628134245,25.5777628134245,0.0,0.0,0.0,0.0,20.462210250739602,5.115552562684897
8860145a55fffff,970,212656.05464615714,758933.8523167425,0.28020367519118744,28.020367519118743,0.0,0.0,0.0,0.0,22.416294015294994,5.604073503823749
8860145a57fffff,720,77135.94043668496,758825.7209295228,0.10165172095405171,10.165172095405172,0.0,0.0,0.0,0.0,8.132137676324138,2.0330344190810337
8860145a61fffff,2139,204108.13687730962,759169.8197155786,0.2688570219424401,26.88570219424401,0.0,0.0,0.0,0.0,21.50856175539521,5.3771404388488016
8860145a63fffff,1011,98410.64341942799,759061.7619070263,0.1296477419336555,12.96477419336555,0.0,0.0,0.0,0.0,10.371819354692441,2.5929548386731085
8860145a65fffff,1469,266341.6573383738,759212.344695577,0.35081312784128843,35.08131278412884,0.0,0.0,0.0,0.0,28.065050227303075,7.016262556825765
8860145a67fffff,1179,252057.69636771842,759104.3027195798,0.3320461963720826,33.20461963720826,0.0,0.0,0.0,0.0,26.56369570976661,6.640923927441651
8860145a69fffff,1219,264690.7926900682,759235.2942755582,0.34862814556405597,34.862814556405596,0.0,0.0,0.0,0.0,27.89025164512448,6.972562911281116
8860145a6bfffff,2239,299394.5777264606,759127.2468570593,0.3943931389184288,39.43931389184288,0.0,0.0,0.0,0.0,31.551451113474304,7.887862778368575
8860145a6dfffff,1158,272663.73474830156,759277.8512993711,0.3591092961314298,35.910929613142976,0.0,0.0,0.0,0.0,28.72874369051438,7.1821859226285945
8860145b01fffff,1228,300710.27476661035,759208.2994655346,0.39608401933738546,39.60840193373855,0.0,0.0,0.0,0.0,31.68672154699084,7.92168038674771
8860145b03fffff,1109,249068.0721489733,759100.2843748752,0.32810957560644666,32.81095756064467,0.0,0.0,0.0,0.0,26.248766048515733,6.562191512128933
8860145b05fffff,2286,303903.1431145623,759250.5687025584,0.4002672577959154,40.02672577959154,0.0,0.0,0.0,0.0,32.02138062367323,8.005345155918306
8860145b07fffff,1466,337924.3265367855,759142.5695174037,0.4451394772283791,44.51394772283791,0.0,0.0,0.0,0.0,35.61115817827033,8.902789544567582
8860145b09fffff,798,242386.8141323981,759273.9870293732,0.31923497745619617,31.923497745619617,0.0,0.0,0.0,0.0,25.538798196495694,6.384699549123923
8860145b0bfffff,502,118627.63455231652,759165.9822927716,0.15626047177989583,15.626047177989582,0.0,0.0,0.0,0.0,12.500837742391667,3.125209435597915
8860145b0dfffff,734,169510.41045851033,759316.2883008701,0.22324084583754358,22.32408458375436,0.0,0.0,0.0,0.0,17.85926766700349,4.46481691675087
8860145b11fffff,2191,307781.3286005225,758949.8941229702,0.40553576854528645,40.55357685452864,0.0,0.0,0.0,0.0,32.44286148362291,8.11071537090573
8860145b13fffff,1910,286081.3239054612,758841.8107470813,0.3769973133449428,37.69973133449428,0.0,0.0,0.0,0.0,30.159785067595426,7.5399462668988555
8860145b15fffff,1684,322241.0134417633,758992.2430582745,0.4245643040346883,42.45643040346883,0.0,0.0,0.0,0.0,33.96514432277507,8.491286080693762
8860145b17fffff,2677,321218.9802421315,758884.1755438802,0.4232780055163477,42.32780055163477,0.0,0.0,0.0,0.0,33.86224044130782,8.465560110326955
8860145b19fffff,1541,204489.25116574002,759015.570348356,0.2694137764155327,26.94137764155327,0.0,0.0,0.0,0.0,21.553102113242616,5.388275528310654
8860145b1bfffff,993,224067.1381017857,758907.4972979068,0.2952496040684506,29.524960406845057,0.0,0.0,0.0,0.0,23.619968325476048,5.904992081369009
8860145b1dfffff,1462,270942.4572389228,759057.9513143207,0.3569456808531967,35.69456808531967,0.0,0.0,0.0,0.0,28.55565446825574,7.138913617063935
8860145b21fffff,333,102688.44371137877,759226.9959870111,0.13525394151439732,13.525394151439732,0.0,0.0,0.0,0.0,10.820315321151787,2.7050788302879454
8860145b23fffff,138,135318.07906364696,759119.0023903302,0.1782567405605109,17.825674056051092,0.0,0.0,0.0,0.0,14.260539244840874,3.5651348112102177
8860145b25fffff,689,153332.07235054017,759269.137289029,0.20194693135824335,20.194693135824334,0.0,0.0,0.0,0.0,16.155754508659466,4.0389386271648675
8860145b27fffff,390,119468.96647394184,759161.1596295768,0.15736970333444775,15.736970333444775,0.0,0.0,0.0,0.0,12.58957626675582,3.147394066688955
8860145b29fffff,612,250511.55789672307,759292.78999123,0.32992748146550493,32.9927481465505,0.0,0.0,0.0,0.0,26.394198517240397,6.598549629310099
8860145b2bfffff,911,183062.96989753522,759184.8067251915,0.24113097137335107,24.113097137335107,0.0,0.0,0.0,0.0,19.290477709868085,4.822619427467021
8860145b2dfffff,504,101462.86668904271,759334.9633181745,0.1336206965179977,13.362069651799771,0.0,0.0,0.0,0.0,10.689655721439818,2.6724139303599532
